employee_id,hire_date,department,job_level,education,gender,base_salary,bonus_pct,performance_score,projects_completed,training_hours,remote_days_wk,last_eval_date,attrition_risk
EMP-10232,2011-11-28,Marketing,Senior,Associate,Female,85200.0,0.18,4.0,1,72.0,4,2024-09-19,Low
EMP-10233,2022-03-04,Legal,Senior,Associate,Female,88700.0,0.23,1.5,12,5.0,1,2024-12-29,Medium
EMP-10234,2017-04-05,Marketing,Senior,Bachelor's,Male,91200.0,0.21,2.4,6,85.0,2,2024-02-01,Medium
EMP-10235,2021-08-04,Operations,Mid,Associate,Female,78700.0,0.18,3.5,24,90.0,5,2024-05-05,Low
EMP-10236,2020-04-30,Finance,Mid,Master's,Female,68800.0,0.2,2.2,27,115.0,5,2024-02-07,Medium
EMP-10237,2019-08-11,Legal,Junior,Bachelor's,Female,34200.0,0.07,,28,,1,2024-11-02,Low
EMP-10238,2021-12-29,HR,Manager,High School,Female,125900.0,0.04,,23,36.0,0,2024-06-21,High
EMP-10239,2013-06-18,Sales,Director,High School,Male,177600.0,0.03,2.5,12,19.0,1,2024-02-20,High
EMP-10240,2019-01-01,Engineering,Lead,PhD,Female,117800.0,0.1,5.0,26,95.0,1,2024-01-22,Low
EMP-10241,2011-10-30,Legal,Director,Bachelor's,Female,170400.0,0.2,1.1,8,3.0,3,2024-04-20,Low
EMP-10242,2011-05-07,Finance,Mid,Associate,Male,62900.0,0.22,4.7,19,,0,2024-11-12,Low
EMP-10243,2017-06-08,R&D,Senior,PhD,Male,98700.0,0.06,4.7,28,2.0,3,2024-12-20,Medium
EMP-10244,2016-08-30,Sales,Manager,Master's,Female,122400.0,0.09,3.2,4,60.0,3,2024-03-30,Medium
EMP-10245,2022-09-03,Marketing,Manager,PhD,Female,142600.0,0.06,3.2,7,19.0,2,2024-06-04,Low
EMP-10246,2022-10-23,Engineering,Manager,Bachelor's,Male,143400.0,0.14,1.8,0,107.0,2,2024-06-24,Low
EMP-10247,2019-06-12,Engineering,Manager,High School,Female,138900.0,0.01,1.1,17,35.0,5,2024-02-13,High
EMP-10248,2018-04-08,Marketing,Manager,Associate,Female,122800.0,0.1,1.1,20,59.0,3,2024-08-24,Low
EMP-10249,2020-10-13,Finance,Senior,Bachelor's,Female,103100.0,0.07,2.1,0,60.0,2,2024-10-30,Low
EMP-10250,2013-01-26,R&D,Mid,High School,Male,72400.0,0.2,3.5,8,60.0,4,2024-04-03,Low
EMP-10251,2016-09-17,Marketing,Manager,Master's,Male,144500.0,0.09,4.8,3,23.0,1,2024-01-06,Low
EMP-10252,2017-09-14,Sales,Manager,Bachelor's,Female,123100.0,0.07,3.2,17,15.0,5,2024-06-11,High
EMP-10253,2021-11-24,R&D,Junior,Bachelor's,Female,49600.0,0.11,1.9,8,6.0,3,2024-07-29,High
EMP-10254,2010-08-17,R&D,Junior,Associate,Male,53200.0,0.14,1.5,24,72.0,2,2024-07-27,Medium
EMP-10255,2014-03-28,Marketing,Director,High School,Female,169700.0,0.14,3.2,29,70.0,1,2024-01-17,Low
EMP-10256,2014-12-28,Marketing,Senior,PhD,Male,98400.0,0.04,4.3,25,48.0,0,2024-02-15,Medium
EMP-10257,2020-01-13,Finance,Lead,PhD,Female,123800.0,0.17,4.2,2,22.0,4,2024-05-05,Medium
EMP-10258,2011-11-30,Sales,Senior,Master's,Female,101800.0,0.01,2.3,25,96.0,1,2024-03-16,Medium
EMP-10259,2013-04-18,Operations,Senior,High School,Female,86600.0,0.23,1.8,23,7.0,1,2024-09-18,Low
EMP-10260,2022-12-27,Operations,Senior,,Female,103300.0,0.16,1.1,14,5.0,0,2024-12-13,Low
EMP-10261,2018-05-06,HR,Director,High School,Male,173900.0,0.09,,4,110.0,2,2024-03-26,Medium
EMP-10262,2022-06-12,Sales,Mid,PhD,Female,61800.0,0.16,3.4,11,,5,2024-03-18,Low
EMP-10263,2023-01-10,Marketing,Lead,Master's,Female,114700.0,0.14,2.7,19,10.0,5,2024-06-25,Low
EMP-10264,2019-05-04,Operations,Director,Bachelor's,Male,172600.0,0.15,2.7,13,38.0,3,2024-03-12,High
EMP-10265,2018-01-28,HR,Junior,Associate,Male,33400.0,0.16,3.9,12,32.0,0,2024-04-14,Medium
EMP-10266,2021-11-20,R&D,Manager,PhD,,134000.0,0.06,3.0,25,110.0,2,2024-04-11,Low
EMP-10267,2015-05-23,Engineering,Lead,High School,Male,123500.0,0.01,3.8,13,94.0,5,2024-04-22,Low
EMP-10268,2022-09-01,Finance,Manager,Master's,Male,143300.0,0.16,1.1,27,91.0,1,2024-12-17,Low
EMP-10269,2019-11-25,R&D,Director,High School,Male,168000.0,0.21,3.0,19,16.0,3,2024-06-18,High
EMP-10270,2018-11-21,R&D,Lead,PhD,Male,124900.0,0.01,3.4,17,118.0,2,2024-12-28,Low
EMP-10271,2015-11-09,Marketing,Junior,Associate,,39400.0,0.11,4.4,10,52.0,3,2024-02-04,Low
EMP-10272,2012-07-24,Legal,Mid,PhD,Female,57500.0,0.09,,25,57.0,3,2024-01-02,Low
EMP-10273,2015-02-05,R&D,Lead,PhD,Male,121600.0,0.04,2.7,21,87.0,3,2024-09-02,High
EMP-10274,2014-01-18,HR,Senior,,Female,97000.0,0.02,4.9,11,83.0,2,2024-01-20,High
EMP-10275,2014-07-20,Engineering,Senior,PhD,Female,84700.0,0.22,4.6,17,33.0,5,2024-09-11,Medium
EMP-10276,2022-04-18,Engineering,Director,,Female,176700.0,0.07,4.1,1,63.0,5,2024-09-26,Low
EMP-10277,2012-07-08,Legal,Manager,High School,Male,129100.0,0.06,4.0,12,110.0,2,2024-06-17,Low
EMP-10278,2014-12-18,Marketing,Junior,High School,Female,33200.0,0.25,4.3,3,114.0,4,2024-02-05,Low
EMP-10279,2015-09-08,R&D,Lead,High School,Male,111300.0,0.03,2.0,9,34.0,2,2024-11-04,Low
EMP-10280,2012-02-17,Legal,Senior,High School,Prefer not to say,96400.0,0.16,2.6,10,27.0,2,2024-11-21,Low
EMP-10281,2014-03-17,Sales,Junior,Master's,Male,36600.0,0.09,2.3,15,85.0,0,2024-02-02,Low
EMP-10282,2021-11-27,Engineering,Mid,Master's,Female,63300.0,,3.1,15,31.0,3,2024-04-11,Low
EMP-10283,2015-08-23,R&D,Director,PhD,Male,172000.0,0.23,1.2,25,35.0,3,2024-11-16,Low
EMP-10284,2020-12-22,Operations,Lead,PhD,Male,112300.0,0.19,1.5,17,86.0,4,2024-01-26,Low
EMP-10285,2015-02-03,R&D,Mid,PhD,Male,76100.0,0.07,1.8,9,27.0,5,2024-07-06,Low
EMP-10286,2022-06-05,HR,Lead,Associate,Female,108500.0,,3.5,8,,4,2024-07-29,Low
EMP-10287,2020-04-11,R&D,Junior,High School,Female,34200.0,0.11,4.2,9,106.0,4,2024-02-17,Medium
EMP-10288,2015-01-30,Finance,Junior,Bachelor's,,45200.0,0.11,,14,115.0,0,2024-11-29,High
EMP-10289,2022-02-20,Marketing,Manager,Bachelor's,Male,122800.0,0.14,3.2,5,107.0,2,2024-06-27,Low
EMP-10290,2022-11-05,Sales,Mid,Bachelor's,Male,79300.0,0.24,2.9,17,38.0,5,2024-10-25,Low
EMP-10291,2012-07-14,Engineering,Lead,,Male,107400.0,0.18,2.7,14,44.0,3,2024-03-24,Low
EMP-10292,2021-07-06,HR,Mid,PhD,Female,57400.0,0.12,3.1,18,86.0,2,2024-09-09,Medium
EMP-10293,2023-03-14,Legal,Manager,PhD,Female,133800.0,0.0,4.6,16,56.0,1,2024-12-10,Low
EMP-10294,2022-09-18,Finance,Mid,Bachelor's,Female,72900.0,,1.4,17,13.0,0,2024-09-11,Low
EMP-10295,2011-10-20,Finance,Manager,Master's,Female,129600.0,0.07,3.6,8,101.0,1,2024-03-10,Medium
EMP-10296,2019-02-25,Finance,Director,Bachelor's,Female,164200.0,0.07,4.8,28,13.0,2,2024-05-12,Low
EMP-10297,2011-08-25,Sales,Junior,PhD,Female,47600.0,,2.0,20,24.0,1,2024-12-21,Medium
EMP-10298,2019-11-10,Operations,Manager,PhD,Male,134200.0,0.24,1.2,9,95.0,1,2024-06-04,Low
EMP-10299,2013-01-05,HR,Director,High School,Male,178800.0,0.06,1.9,28,99.0,0,2024-01-28,High
EMP-10300,2021-04-14,Engineering,Director,High School,Female,178100.0,0.13,1.9,5,104.0,2,2024-08-26,Medium
EMP-10301,2022-05-08,Legal,Senior,Master's,Male,104000.0,0.23,1.6,11,51.0,1,2024-12-14,Low
EMP-10302,2021-05-18,R&D,Director,Bachelor's,Female,169000.0,0.14,1.8,4,69.0,3,2024-10-29,Medium
EMP-10303,2012-07-27,Finance,Lead,Bachelor's,Male,122400.0,0.02,4.4,5,82.0,1,2024-03-25,Low
EMP-10304,2021-07-22,R&D,Director,Associate,Male,169100.0,0.17,3.6,3,45.0,3,2024-08-10,Medium
EMP-10305,2012-04-16,Sales,Junior,Master's,Male,38300.0,0.07,3.8,7,17.0,4,2024-07-16,Low
EMP-10306,2020-04-26,R&D,Mid,Master's,Male,72400.0,0.0,4.2,12,105.0,3,2024-11-23,Low
EMP-10307,2018-10-16,Finance,Junior,PhD,,38600.0,0.22,4.2,0,19.0,3,2024-09-19,Low
EMP-10308,2022-03-17,Legal,Lead,PhD,Male,112200.0,0.24,2.4,29,20.0,0,2024-06-02,Low
EMP-10309,2013-11-03,Finance,Junior,PhD,Female,47000.0,0.06,1.6,23,42.0,4,2024-10-30,Low
EMP-10310,2014-04-19,Legal,Lead,High School,Prefer not to say,110900.0,0.02,1.3,2,86.0,0,2024-09-29,Medium
EMP-10311,2022-08-18,Engineering,Lead,PhD,Non-binary,109400.0,0.01,2.5,15,78.0,2,2024-12-01,Low
EMP-10312,2020-08-28,Sales,Senior,Associate,Male,92500.0,0.23,1.9,29,22.0,2,2024-11-19,Low
EMP-10313,2012-02-02,Sales,Senior,High School,Female,83000.0,0.18,3.7,14,26.0,5,2024-02-29,Low
EMP-10314,2013-01-25,Operations,Junior,PhD,Male,45300.0,0.05,1.2,23,83.0,1,2024-02-04,High
EMP-10315,2018-05-17,Sales,Junior,PhD,Non-binary,37800.0,0.09,2.7,29,33.0,0,2024-05-09,Medium
EMP-10316,2011-04-17,Sales,Lead,,Male,113200.0,0.02,3.8,1,96.0,5,2024-04-28,Medium
EMP-10317,2019-01-26,Engineering,Junior,PhD,Male,45500.0,0.21,2.6,19,21.0,4,2024-05-02,Medium
EMP-10318,2015-04-25,Marketing,Senior,Associate,Male,103900.0,0.14,4.6,1,118.0,5,2024-04-11,Low
EMP-10319,2011-01-22,Sales,Director,Master's,Male,162800.0,0.06,1.0,27,99.0,2,2024-10-27,Low
EMP-10320,2018-05-09,HR,Manager,High School,Male,140600.0,0.07,4.8,18,99.0,1,2024-08-22,High
EMP-10321,2010-12-08,Operations,Mid,Associate,Male,69300.0,0.07,,17,82.0,4,2024-10-14,High
EMP-10322,2010-05-05,Sales,Junior,Master's,Male,37300.0,0.19,3.4,2,73.0,3,2024-05-01,Low
EMP-10323,2023-05-01,Legal,Mid,Bachelor's,Male,64800.0,,1.3,13,51.0,1,2024-09-09,Low
EMP-10324,2014-10-12,Engineering,Mid,Bachelor's,Male,57000.0,0.13,4.9,16,91.0,5,2024-10-21,High
EMP-10325,2020-04-23,Operations,Lead,Master's,Female,107100.0,0.01,1.7,8,,2,2024-12-16,High
EMP-10326,2016-09-23,Finance,Senior,Master's,Female,101900.0,,4.7,20,54.0,0,2024-12-29,Medium
EMP-10327,2012-09-14,Legal,Senior,,Male,90400.0,0.22,3.5,23,13.0,5,2024-01-26,Medium
EMP-10328,2013-01-15,HR,Director,High School,Male,181900.0,,4.8,24,49.0,0,2024-07-19,Low
EMP-10329,2019-07-22,HR,Senior,Bachelor's,Prefer not to say,96900.0,0.23,3.3,23,93.0,4,2024-12-05,Low
EMP-10330,2011-12-20,Engineering,Director,Associate,Female,177600.0,0.21,4.7,13,118.0,2,2024-07-21,Low
EMP-10331,2014-07-10,Operations,Manager,Bachelor's,Female,140400.0,0.03,2.3,10,44.0,1,2024-11-16,Low
EMP-10332,2022-08-17,R&D,Lead,Master's,Female,120000.0,0.03,1.3,1,55.0,5,2024-12-15,Low
EMP-10333,2012-07-28,R&D,Lead,PhD,Male,114700.0,,4.7,15,,3,2024-06-24,Medium
EMP-10334,2017-12-15,HR,Lead,Bachelor's,Female,106500.0,0.11,4.6,16,21.0,4,2024-07-13,Low
EMP-10335,2013-10-08,Operations,Manager,Associate,Male,130600.0,0.06,4.6,2,43.0,3,2024-07-26,Medium
EMP-10336,2018-03-26,Marketing,Senior,PhD,Male,89900.0,,4.4,7,,4,2024-02-14,Low
EMP-10337,2017-08-28,Finance,Junior,High School,,50400.0,0.1,3.1,21,6.0,1,2024-04-26,Low
EMP-10338,2010-04-06,Sales,Senior,High School,Female,85900.0,0.1,3.8,21,106.0,5,2024-11-30,Low
EMP-10339,2015-09-26,Finance,Junior,Associate,Male,41000.0,,,18,,0,2024-12-10,Low
EMP-10340,2012-10-02,Operations,Junior,PhD,Female,45600.0,0.24,3.6,3,18.0,4,2024-06-22,Low
EMP-10341,2015-05-15,Finance,Lead,High School,Female,106900.0,0.24,,18,2.0,1,2024-12-05,Low
EMP-10342,2018-05-14,R&D,Lead,Bachelor's,Female,106500.0,0.0,3.1,16,26.0,2,2024-10-31,Low
EMP-10343,2021-07-05,Sales,Director,High School,Female,179100.0,0.23,2.3,18,8.0,4,2024-08-06,Low
EMP-10344,2021-10-08,R&D,Lead,PhD,Female,106400.0,,4.4,20,93.0,4,2024-06-05,Medium
EMP-10345,2018-01-03,Operations,Senior,Master's,Male,101100.0,0.12,2.5,26,70.0,1,2024-01-03,Medium
EMP-10346,2020-12-19,Engineering,Mid,PhD,Male,67500.0,0.15,4.6,1,98.0,1,2024-06-02,Low
EMP-10347,2010-12-23,HR,Senior,High School,,83900.0,0.18,1.5,27,23.0,1,2024-09-07,Medium
EMP-10348,2017-12-05,Finance,Lead,PhD,Male,107500.0,0.01,4.6,25,46.0,5,2024-11-05,Medium
EMP-10349,2012-03-27,R&D,Junior,Bachelor's,Female,39700.0,0.17,2.2,28,15.0,3,2024-01-09,Low
EMP-10350,2017-12-24,Finance,Senior,Bachelor's,Female,95900.0,0.01,2.9,24,68.0,4,2024-02-26,High
EMP-10351,2022-04-24,Finance,Director,Associate,Female,167500.0,0.02,3.0,9,55.0,3,2024-08-31,Low
EMP-10352,2017-05-05,Finance,Lead,,Female,104600.0,0.12,1.2,29,98.0,5,2024-08-02,Medium
EMP-10353,2012-07-14,Operations,Lead,Master's,Female,121200.0,0.19,1.0,12,10.0,5,2024-07-29,Medium
EMP-10354,2010-10-07,R&D,Manager,Master's,Male,136800.0,0.21,2.2,5,84.0,5,2024-11-05,Medium
EMP-10355,2015-06-10,Finance,Lead,Bachelor's,Female,115400.0,0.02,3.5,3,91.0,5,2024-06-02,Low
EMP-10356,2015-09-17,Sales,Junior,PhD,Female,40300.0,0.08,4.9,28,82.0,0,2024-08-22,Medium
EMP-10357,2017-12-12,HR,Director,PhD,Male,180700.0,0.24,2.5,6,103.0,0,2024-03-15,Low
EMP-10358,2014-05-02,Finance,Manager,High School,Female,143700.0,0.13,3.1,10,,0,2024-06-20,Medium
EMP-10359,2020-01-08,R&D,Manager,High School,Male,129300.0,0.09,2.9,20,108.0,4,2024-10-06,Medium
EMP-10360,2010-06-24,R&D,Mid,Associate,Male,61900.0,0.03,1.2,22,52.0,2,2024-04-19,Low
EMP-10361,2023-01-15,Operations,Junior,High School,Male,40800.0,0.04,2.9,14,,5,2024-02-12,Low
EMP-10362,2019-11-13,Marketing,Manager,Associate,Female,135400.0,0.19,3.3,27,93.0,2,2024-06-30,Medium
EMP-10363,2012-07-19,Legal,Senior,High School,Male,85100.0,0.13,4.3,0,82.0,5,2024-07-20,Medium
EMP-10364,2010-06-21,Engineering,Mid,Associate,Female,58700.0,0.2,4.4,3,25.0,4,2024-08-26,Low
EMP-10365,2020-12-12,Operations,Mid,Master's,Male,71300.0,,1.5,13,101.0,5,2024-11-13,Low
EMP-10366,2012-06-23,R&D,Junior,Associate,Male,35400.0,,2.4,4,102.0,3,2024-01-17,Low
EMP-10367,2011-08-28,Operations,Senior,Master's,Prefer not to say,82600.0,0.21,3.1,6,104.0,0,2024-05-29,Medium
EMP-10368,2015-10-18,Sales,Lead,Master's,Male,111500.0,0.17,,4,33.0,4,2024-06-20,Low
EMP-10369,2014-02-26,Operations,Director,PhD,Female,164300.0,0.12,1.4,1,2.0,1,2024-02-15,Low
EMP-10370,2013-05-15,Operations,Senior,Associate,Female,91500.0,0.08,3.8,0,62.0,0,2024-05-18,Low
EMP-10371,2022-06-07,Engineering,Manager,Bachelor's,,127700.0,0.19,2.8,22,97.0,5,2024-04-05,Low
EMP-10372,2016-07-03,Engineering,Mid,PhD,Male,61500.0,0.12,1.5,22,119.0,5,2024-12-25,Low
EMP-10373,2018-07-17,Operations,Junior,Associate,Female,45800.0,0.1,2.0,4,0.0,5,2024-08-14,Medium
EMP-10374,2013-03-27,Marketing,Lead,Master's,Non-binary,104400.0,0.04,1.2,23,,2,2024-07-27,Low
EMP-10375,2023-03-13,Marketing,Manager,Master's,Male,139300.0,0.19,2.8,12,5.0,1,2024-12-04,Medium
EMP-10376,2015-08-13,Legal,Mid,Associate,Prefer not to say,69300.0,0.05,1.8,6,47.0,1,2024-10-02,High
EMP-10377,2022-01-28,R&D,Lead,PhD,Male,111800.0,0.19,3.9,27,72.0,2,2024-05-03,Low
EMP-10378,2016-01-11,Marketing,Lead,High School,Female,123700.0,0.25,3.7,20,118.0,5,2024-03-02,Low
EMP-10379,2019-12-17,Marketing,Lead,Bachelor's,Male,123400.0,,3.8,19,25.0,0,2024-04-20,Low
EMP-10380,2010-04-24,Engineering,Manager,Master's,Female,138800.0,0.05,1.6,1,89.0,0,2024-12-15,Low
EMP-10381,2010-07-22,Finance,Director,PhD,Female,181100.0,,3.3,22,7.0,1,2024-11-17,High
EMP-10382,2017-09-05,Sales,Senior,Bachelor's,Female,85800.0,0.13,1.7,16,84.0,5,2024-01-22,Low
EMP-10383,2013-05-21,Engineering,Manager,Master's,Female,136600.0,0.17,3.0,0,103.0,2,2024-07-11,Medium
EMP-10384,2020-12-04,Finance,Mid,PhD,Male,65000.0,0.16,4.6,25,35.0,5,2024-04-04,Low
EMP-10385,2021-04-03,Legal,Mid,Associate,Male,73400.0,0.14,4.7,7,3.0,1,2024-07-18,Low
EMP-10386,2020-11-08,Operations,Manager,,Male,143600.0,0.1,4.2,1,44.0,5,2024-05-18,Low
EMP-10387,2010-09-17,Legal,Manager,Associate,Female,139400.0,0.18,1.4,23,70.0,2,2024-06-19,Low
EMP-10388,2010-10-18,Sales,Lead,PhD,Female,121200.0,0.12,2.6,28,90.0,3,2024-03-18,High
EMP-10389,2011-09-04,Engineering,Senior,Bachelor's,Female,104300.0,0.2,2.8,8,79.0,3,2024-07-04,Medium
EMP-10390,2014-02-02,Legal,Manager,,Male,134100.0,0.22,2.9,21,52.0,4,2024-03-26,Low
EMP-10391,2018-10-21,HR,Manager,Bachelor's,Male,139100.0,0.2,4.0,20,1.0,4,2024-04-24,Low
EMP-10392,2020-09-02,HR,Lead,Master's,Female,120300.0,0.23,2.5,29,,3,2024-06-28,Low
EMP-10393,2013-07-20,Operations,Manager,PhD,Female,128300.0,0.2,1.2,9,103.0,5,2024-11-08,Medium
EMP-10394,2020-01-23,R&D,Director,Bachelor's,Male,176300.0,0.22,3.5,23,118.0,1,2024-07-20,Low
EMP-10395,2018-10-28,Finance,Senior,Master's,Male,84500.0,0.18,1.7,19,6.0,4,2024-06-06,Medium
EMP-10396,2015-02-21,Finance,Mid,Bachelor's,Female,76400.0,0.03,2.1,0,31.0,3,2024-09-12,Low
EMP-10397,2021-08-06,Legal,Senior,Associate,Male,90300.0,0.15,1.4,1,36.0,4,2024-06-12,Low
EMP-10398,2011-09-14,R&D,Director,Bachelor's,,180700.0,0.1,2.1,18,44.0,5,2024-09-16,Low
EMP-10399,2018-02-04,HR,Junior,Bachelor's,Male,44500.0,0.23,1.7,17,,4,2024-11-06,High
EMP-10400,2017-05-21,HR,Junior,High School,Non-binary,37900.0,0.07,1.6,14,59.0,3,2024-04-06,Low
EMP-10401,2021-11-06,Finance,Lead,Bachelor's,Female,124700.0,0.18,3.5,10,88.0,3,2024-03-24,Low
EMP-10402,2014-11-08,Operations,Mid,Associate,Female,65400.0,0.07,2.8,18,0.0,4,2024-07-19,Low
EMP-10403,2016-12-24,Sales,Senior,Master's,Female,103100.0,0.06,1.5,24,37.0,0,2024-09-26,High
EMP-10404,2012-12-08,Engineering,Junior,PhD,Male,39800.0,0.06,3.2,3,83.0,2,2024-01-05,Low
EMP-10405,2023-03-20,R&D,Lead,High School,Female,115500.0,,4.0,10,84.0,4,2024-01-01,Low
EMP-10406,2010-12-24,Marketing,Senior,Associate,Male,94000.0,0.13,1.5,21,9.0,1,2024-03-30,Low
EMP-10407,2014-09-28,HR,Junior,,Female,49200.0,0.24,2.0,13,3.0,5,2024-02-23,Medium
EMP-10408,2013-10-22,Engineering,Junior,PhD,Female,40400.0,0.2,3.8,26,26.0,3,2024-05-05,Medium
EMP-10409,2018-02-05,HR,Mid,High School,Female,79200.0,0.05,4.1,8,34.0,3,2024-08-20,Low
EMP-10410,2020-06-28,Operations,Senior,High School,Female,84400.0,0.04,3.4,12,99.0,4,2024-10-16,Low
EMP-10411,2017-06-07,Finance,Lead,Master's,Male,125000.0,0.02,4.7,19,66.0,4,2024-12-02,Low
EMP-10412,2022-12-11,Legal,Director,High School,Male,163900.0,0.04,2.3,8,20.0,4,2024-05-08,Low
EMP-10413,2020-07-04,Legal,Director,PhD,Female,182500.0,0.25,4.4,15,97.0,3,2024-06-29,High
EMP-10414,2018-09-13,Legal,Manager,High School,Prefer not to say,144400.0,0.08,3.9,0,92.0,2,2024-12-12,High
EMP-10415,2017-12-07,Finance,Lead,Associate,Male,117500.0,0.06,4.5,29,96.0,2,2024-02-21,Low
EMP-10416,2017-01-19,Sales,Director,PhD,Female,169000.0,0.23,2.3,26,85.0,5,2024-10-09,Low
EMP-10417,2010-02-19,R&D,Lead,High School,Male,124000.0,0.12,2.8,8,51.0,0,2024-09-20,High
EMP-10418,2017-07-11,Finance,Senior,High School,Non-binary,92800.0,,1.5,13,50.0,0,2024-12-07,High
EMP-10419,2022-12-28,Finance,Junior,PhD,Male,32300.0,0.05,1.9,0,2.0,3,2024-07-11,Low
EMP-10420,2020-11-04,Engineering,Manager,Associate,Female,136600.0,0.06,4.0,11,72.0,5,2024-03-10,Low
EMP-10421,2017-06-27,R&D,Senior,Associate,Female,97600.0,0.16,3.1,28,83.0,4,2024-05-09,Low
EMP-10422,2015-01-31,R&D,Mid,Bachelor's,Female,68100.0,0.11,2.1,26,61.0,1,2024-12-07,Medium
EMP-10423,2010-06-18,Finance,Director,Associate,,184200.0,0.19,1.2,0,,5,2024-08-01,Low
EMP-10424,2015-07-31,Sales,Senior,Associate,Male,103200.0,,1.3,28,110.0,1,2024-02-08,Low
EMP-10425,2020-04-21,Finance,Senior,High School,Male,87900.0,0.11,1.1,21,,2,2024-09-20,High
EMP-10426,2011-01-07,Finance,Director,Bachelor's,Male,177300.0,0.16,,26,,2,2024-11-15,Low
EMP-10427,2013-04-09,Marketing,Manager,Bachelor's,Female,132600.0,0.1,2.1,12,116.0,5,2024-06-18,Low
EMP-10428,2013-03-22,HR,Manager,PhD,,129600.0,0.12,4.1,9,14.0,1,2024-08-15,Low
EMP-10429,2016-02-12,Sales,Mid,,Male,71100.0,,4.5,26,35.0,3,2024-05-16,Medium
EMP-10430,2018-08-16,Legal,Senior,PhD,Non-binary,84900.0,0.03,4.3,8,27.0,0,2024-05-31,Low
EMP-10431,2016-02-18,Legal,Director,Associate,Male,168800.0,0.11,3.5,11,7.0,3,2024-07-04,Medium
EMP-10432,2011-06-05,Finance,Junior,Associate,Male,49800.0,0.04,1.7,28,88.0,0,2024-06-05,High
EMP-10433,2021-03-20,Finance,Senior,Associate,Non-binary,95400.0,0.23,2.4,4,17.0,3,2024-12-04,Medium
EMP-10434,2015-11-17,Legal,Mid,Bachelor's,Female,70100.0,0.07,2.5,2,35.0,3,2024-12-29,Low
EMP-10435,2018-01-02,Engineering,Director,PhD,Male,166400.0,0.13,3.0,14,20.0,5,2024-11-19,High
EMP-10436,2022-10-05,Legal,Director,PhD,Female,169600.0,0.01,4.7,2,85.0,4,2024-12-17,High
EMP-10437,2022-11-12,R&D,Lead,PhD,Female,114200.0,0.16,4.8,27,13.0,5,2024-07-11,High
EMP-10438,2021-11-05,Sales,Manager,High School,Male,133800.0,0.11,1.9,21,,1,2024-09-24,Low
EMP-10439,2023-02-09,R&D,Manager,High School,Prefer not to say,134500.0,0.09,,18,,5,2024-12-12,Low
EMP-10440,2013-02-13,Engineering,Junior,,Female,53700.0,0.21,1.0,10,81.0,1,2024-01-31,Low
EMP-10441,2010-10-07,HR,Director,PhD,Male,178200.0,0.07,3.8,26,55.0,3,2024-12-01,Low
EMP-10442,2022-07-29,Marketing,Mid,High School,Male,69000.0,0.23,3.7,5,,2,2024-09-12,Low
EMP-10443,2012-02-20,Engineering,Manager,PhD,,126200.0,0.01,2.7,26,104.0,0,2024-09-09,Low
EMP-10444,2014-06-21,HR,Mid,Master's,Female,64300.0,0.06,,22,53.0,2,2024-07-05,Low
EMP-10445,2019-07-24,Operations,Mid,Associate,Female,78000.0,0.04,2.0,3,84.0,2,2024-12-20,Low
EMP-10446,2022-10-28,Finance,Senior,Bachelor's,Non-binary,89000.0,0.03,5.0,9,24.0,3,2024-01-10,Low
EMP-10447,2012-03-21,Finance,Lead,Bachelor's,Male,110700.0,0.08,4.0,16,58.0,3,2024-01-30,Low
EMP-10448,2018-02-20,Marketing,Junior,Associate,Male,35700.0,0.19,2.6,23,118.0,3,2024-12-15,Medium
EMP-10449,2016-04-25,Marketing,Mid,Bachelor's,Male,58200.0,,2.6,4,65.0,1,2024-03-01,Low
EMP-10450,2015-05-05,Legal,Lead,,Female,118700.0,0.13,4.4,18,60.0,4,2024-10-12,Low
EMP-10451,2013-03-02,Operations,Manager,Master's,Female,126500.0,0.04,1.7,19,53.0,0,2024-07-12,Medium
EMP-10452,2011-08-14,Operations,Director,Master's,Female,175300.0,0.02,4.2,28,22.0,1,2024-08-17,Low
EMP-10453,2016-10-26,Engineering,Senior,Master's,Male,102200.0,0.0,,15,10.0,4,2024-06-08,Low
EMP-10454,2017-08-29,Operations,Lead,Bachelor's,Female,115800.0,,3.2,8,41.0,2,2024-09-19,Low
EMP-10455,2018-02-18,HR,Manager,Master's,Female,143200.0,0.04,5.0,29,58.0,4,2024-03-18,Medium
EMP-10456,2021-05-31,Engineering,Director,Bachelor's,Prefer not to say,164500.0,0.24,3.9,9,107.0,2,2024-11-06,Medium
EMP-10457,2015-07-02,Operations,Mid,Associate,Female,72400.0,0.04,4.8,10,8.0,4,2024-08-22,Medium
EMP-10458,2017-11-10,HR,Lead,Master's,Non-binary,121100.0,0.13,,15,101.0,5,2024-01-18,Low
EMP-10459,2022-05-09,Operations,Director,High School,Male,176900.0,0.13,,7,8.0,0,2024-06-15,Low
EMP-10460,2019-02-08,HR,Lead,Bachelor's,Female,112900.0,0.15,1.8,6,99.0,4,2024-09-04,Medium
EMP-10461,2017-07-02,Finance,Senior,Master's,Male,100900.0,0.24,2.9,19,48.0,4,2024-03-11,Low
EMP-10462,2011-05-11,Finance,Manager,Master's,Male,139800.0,0.14,1.0,12,4.0,2,2024-01-04,Low
EMP-10463,2017-07-25,R&D,Lead,High School,Non-binary,113700.0,,2.6,21,50.0,4,2024-05-18,Medium
EMP-10464,2017-04-01,HR,Mid,PhD,Male,68300.0,0.12,2.9,26,118.0,3,2024-03-14,Medium
